adcirc_index,x_f14_bnd,y_f14_bnd
1,172.5,-3.5
3,172.7297301234,-3.5000001984
13,173.0337932888,-3.5000013055
34,173.30405112,-3.5000003372
92,173.5607995547,-3.5000019018
201,173.8445970698,-3.5000004246
367,174.1283759304,-3.5000003842
600,174.4054031305,-3.5000003669
892,174.682425572,-3.5000008417
893,174.9459477856,-3.5000003603
1232,175.2229641898,-3.5000011774
1256,175.4797236028,-3.5000007211
1629,175.7229661976,-3.5000008328
2038,175.9594550664,-3.5000004715
2476,176.1891842379,-3.5000005439
2480,176.4121697662,-3.5000010649
2481,176.6418893623,-3.5000002475
2955,176.8851279371,-3.5000009041
2991,177.1148737249,-3.500001226
3496,177.3581198586,-3.5000019341
3498,177.6216121871,-3.5000013267
4013,177.8716227046,-3.500000271
4014,178.121622086,-3.5000002836
4016,178.3783779655,-3.5000003321
4018,178.6418935127,-3.500000371
4017,178.9121561383,-3.5000007075
4540,179.1689189346,-3.5000003444
4541,179.4391773633,-3.5000018402
4560,179.6756683619,-3.5000009889
4563,179.9256736078,-3.5000003792
4562,180.1756678191,-3.5000010115
4561,180.3918932416,-3.5000002287
4032,180.62837034,-3.5000010704
4033,180.8445929926,-3.500000286
4031,181.0675740971,-3.5000007856
4029,181.3040583349,-3.5000004963
4028,181.5405422045,-3.5000002154
3508,181.7635078379,-3.5000006514
2999,182.0000043065,-3.5000005067
2998,182.2297395101,-3.5000014193
2516,182.4797366861,-3.5000008699
2515,182.7432381201,-3.500000605
2511,182.9864936723,-3.5000009173
2065,183.2432387844,-3.5000005846
2064,183.5,-3.5
2513,183.5000000001,-3.8378376242
2992,183.5000004801,-4.1013591441
3500,183.5000020829,-4.3716385472
3501,183.5000026984,-4.6216422379
4022,183.5000001241,-4.8581036183
4554,183.5000002835,-5.0945876707
4571,183.5000018444,-5.3243053996
5105,183.5000014337,-5.5675504422
5107,183.5000006755,-5.8243102179
5620,183.500001832,-6.1013288841
6080,183.5000000017,-6.3918926981
6512,183.5000013901,-6.6824550696
6519,183.5000003745,-6.9459573923
6520,183.5000027801,-7.2027327728
6521,183.5000000807,-7.4459406281
6522,183.5000000001,-7.6959456213
6523,183.5000065194,-7.9595123812
6946,183.5000093652,-8.2095206262
6947,183.5000082287,-8.4460054615
7355,183.5000012559,-8.6756978072
7354,183.5000059914,-8.8986975364
7353,183.5000082591,-9.1148089428
6941,183.5000089025,-9.3445359995
6942,183.5000044454,-9.5742871084
6943,183.5000235634,-9.8107193501
6944,183.5000129602,-10.0607391789
6945,183.5000207767,-10.317476234
6518,183.5000243667,-10.5809887785
6087,183.5000003379,-10.844608048
5623,183.5000016452,-11.1148979186
5109,183.5000168718,-11.3920122834
5108,183.5000039257,-11.6621038473
4572,183.5000215021,-11.9528230899
4035,183.5000065039,-12.2298139939
3509,183.5000134392,-12.5339031389
3000,183.5000290352,-12.7974613248
2518,183.5000110571,-13.0269208103
2067,183.5000005755,-13.2838082253
1656,183.5,-13.5
2066,183.2703267694,-13.4999971179
2068,182.9932128248,-13.5000006825
2519,182.7433376431,-13.4999929501
2522,182.5066067174,-13.4999791519
2580,182.2566653288,-13.499993409
2581,182.0066188694,-13.4999839185
2583,181.7498618304,-13.4999841641
2584,181.4796777531,-13.4999989159
2582,181.2028758004,-13.4999769363
2926,180.9594960168,-13.4999991539
2927,180.7839222151,-13.4999713637
3435,180.6757833577,-13.4999748618
3957,180.5069070964,-13.4999779156
4485,180.2770966329,-13.4999950079
4486,180.0675688557,-13.5000004587
4487,179.8580276443,-13.4999955827
4998,179.6215297964,-13.4999893955
4997,179.3987885521,-13.499980352
4996,179.1890642472,-13.499988542
5004,178.945870722,-13.4999964766
5005,178.6890152894,-13.49997861
5009,178.4188567432,-13.4999979731
5011,178.1349716479,-13.4999772
5010,177.8242274214,-13.4999948682
4493,177.5135271336,-13.5000011166
4492,177.2229395206,-13.5000006626
3960,176.9054147791,-13.5000008372
3436,176.6011723187,-13.4999795311
3948,176.3039585338,-13.499991445
3949,176.0136525541,-13.4999791419
3428,175.7162720877,-13.4999984686
3427,175.4393502318,-13.4999751767
2924,175.1758131392,-13.4999819098
2451,174.9189213302,-13.5000005983
2011,174.6688140918,-13.4999895665
1595,174.4187962346,-13.4999847234
1217,174.1892030635,-13.5000004636
1216,173.952775883,-13.4999954565
874,173.6825656202,-13.4999840284
587,173.4459465371,-13.5000007065
365,173.1825628538,-13.4999856516
364,172.952641094,-13.4999926448
200,172.7228339316,-13.4999749963
91,172.5,-13.5
199,172.4999920146,-13.2568152045
198,172.4999999388,-13.0135050182
361,172.4999998432,-12.7567674963
360,172.4999988412,-12.5202406653
581,172.4999872095,-12.3244173847
867,172.4999893141,-12.067663418
1206,172.4999846517,-11.7974038678
1307,172.4999864593,-11.5068564605
1308,172.4999988838,-11.1891699689
1310,172.4999985627,-10.8715886459
1309,172.4999986903,-10.5675365139
1313,172.4999859827,-10.2703690461
1312,172.4999879551,-9.9595506809
1311,172.4999914406,-9.6215460448
1689,172.4999908821,-9.3174956936
1690,172.4999972419,-9.0269884475
1691,172.4999905219,-8.7296699557
1688,172.4999951736,-8.3918383987
1687,172.4999919106,-8.1080480632
1304,172.499999876,-7.8378308723
1303,172.4999967629,-7.5810447116
954,172.4999974831,-7.3175376009
665,172.4999996986,-7.0608009435
642,172.4999956973,-6.831049104
641,172.4999999938,-6.6283796453
640,172.4999960301,-6.4256488515
639,172.4999948024,-6.2296981653
636,172.4999987983,-6.0405550907
400,172.499999198,-5.8513641516
399,172.4999989765,-5.6554177024
218,172.4999950862,-5.4459739201
213,172.4999983381,-5.2027203202
96,172.4999999496,-4.9459489749
36,172.4999997479,-4.6756822591
16,172.4999985417,-4.4053918619
15,172.4999998655,-4.1756720733
4,172.4999996606,-3.9391831043
2,172.4999991846,-3.7094670006
1,172.5,-3.5
